nop,-O,-O2,-O3,-O4,-Ofast,NASM,size
4.205917390,0.591009719,0.528252429,0.562314826,0.547039419,0.547620741,1.251472875,13M
0.049514721,0.003366327,0.003069045,0.003267308,0.003264835,0.003213526,0.012786620,68K

